#1naE	2naP1	3naP1er	4csE	5csP1	6csp1e	7coE1	8coP1	9coP1e	10coE2	11coP2	12coP2e
#degrees	volts	
145	3.175	0.3175
150	2.4	0.24
155	1.7	0.17
160	1.11	0.111
165	0.61	0.061
170	0.28	0.028
175	0.0615	0.00615
180	0.00325	0.000325
185	0.1	0.01
190	0.3575	0.03575
195	0.735	0.0735
200	1.25	0.125
205	1.85	0.185
210	2.6	0.26
220	4.25	0.425
230	5.95	0.595
240	7.5	0.75
250	8.8	0.88
260	9.7	0.97
270	10	1
280	9.7	0.97
290	8.78	0.878
300	7.45	0.745
310	5.8	0.58
320	4.05	0.405
330	2.425	0.2425
335	1.7	0.17
340	1.1	0.11
345	0.6	0.06
350	0.265	0.0265
355	0.0545	0.00545
360	0.005	0.0005
365	0.114	0.0114
370	0.39	0.039
375	0.78	0.078
380	1.33	0.133
385	2	0.2
390	2.75	0.275
